question,answer,ifc_model,project
What is the total gross floor area of the building?,The total gross floor area of the building is 354.67 sqm,arc,duplex
What is the height of the ceiling in room A203?,The height of the ceiling in room A203 is 2.58 m,arc,duplex
Give me the name of all the rooms in the building.,"The list of all the rooms in the building is: ['A101','A102','A103','A104','A105','A201','A202','A203','A204','A205','B101','B102','B103','B104','B105','B201','B202','B203','B204','B205','R301']",arc,duplex
How many windows are there on the north facade?, I cannot calculate the number of window on the north facade because the model is not georeferenced.,arc,duplex
What is the width of the door 1hOSvn6df7F8_7GcBWlRGQ ?, The width of the door is 1.25 m,arc,duplex
Are all internal doors compliant with accessibility requirements?,"No, not every door is compliant with accessibility requirements",arc,duplex
What is the floor-to-floor height between the ground floor and first floor?,The floor-to-floor height between the ground floor and the first floor is 3.1 m,arc,duplex
What is the total area of glazing on the façade?,It is not possible to get the exact glazing area from this model. The total window area in the model is 65.94 sqm.,arc,duplex
Which rooms have direct access to outdoor spaces?,10 rooms have some form of outdoor access: 4 rooms have direct access through doors and 6 have windows to the outside.,arc,duplex
What is the total length of water supply piping in the building?,"The total lenght of water supply piping in the building is 1,747.29 m",mep,duplex
Where are the main electrical panels located?,"The question cannot be precisely answered, because there is no main electrical panel in the model.",mep,duplex
How many radiator are there in room A202?,There are two radiators in room A202.,mep,duplex
What is the diameter of the main drainage pipe?,The main drainage pipe has a diameter of 40 mm.,mep,duplex
What is the capacity of the hot water tank?,"There is no water tank in this model. However, there is a hot water boiler with a heat output of 147 KW and a water flow rate of 0.51 m³/s.",mep,duplex
Which rooms have thermostats installed?,"Based on the data, there are two thermostats installed in the model:1. One thermostat in room A1022. One thermostat in room B102",mep,duplex
What type of heating system is used in the bathrooms?,The bathrooms are heated using wall-mounted hydronic radiators that are connected to a central boiler system.,mep,duplex
Are the walls of room A203 load bearing?,"Room A203 contains three wall types: non-load-bearing interior partitions, a CMU party wall with potential structural function, and a likely load-bearing exterior brick wall.",arc,duplex
What is the depth of the foundation?,The depth of the foundation is 300 mm,arc,duplex
What is the specification of the concrete used in the ground floor slab?,"The ground floor slab is a 127mm thick, 64.78 sqm interior slab on grade, but the concrete specification is missing from the model's data.",arc,duplex
Are there any steel beams spanning the living room of Duplex B?,"No, there are no steel beams spanning the living room of Duplex B",arc,duplex
What is the thickness of the external walls?,The thickness of the external walls is 417 mm,arc,duplex
What type of roof structure is used?,"The roof is a flat, wood-joist structure designed for a live roof.",arc,duplex
Where are the main structural walls located?,The main structural walls are the exterior brick-on-block and concrete foundation walls.,arc,duplex
What is the live load capacity of the first floor?,Information not available in the BIM model.,arc,duplex
What is the fire rating of the internal doors?,Information not available in the BIM model.,arc,duplex
